name,brand,price,is_second_hand,sustainability_score,eco_rating,category,description,image_url,condition
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
Vintage Denim Jacket,OldStyle,1299,True,8.5,6.0,Outerwear,Well preserved denim jacket from previous season,https://images.unsplash.com/photo-1,Excellent
Organic Cotton Tee,EcoRoots,799,False,7.8,7.2,Tops,Soft organic cotton t-shirt eco friendly production,https://images.unsplash.com/photo-2,New
Recycled Polyester Hoodie,GreenWear,999,False,6.5,6.1,Tops,Hoodie made from recycled polyester fibers,https://images.unsplash.com/photo-3,New
Second Hand Leather Jacket,VintageHub,1499,True,8.1,6.8,Outerwear,Preowned leather jacket high durability,https://images.unsplash.com/photo-4,Good
Eco Linen Shirt,NatureThreads,899,False,7.4,7.0,Tops,Breathable linen shirt made sustainably,https://images.unsplash.com/photo-5,New
